Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: Regional, State and Local Organizations") And Edition (28)  LIMITS: Database ..."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - Industries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"GUOOKP021069898","AFL-CIO - Communications Workers of America - Local 6127","3809 S County Road 1285","","","","","Midland, TX 79711 USA","Midland","TX","79711","United States","432","(432)563-3238","","(432)563-6204","","http://cwalocal6127.org","8631","Labor Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Communications","4; 15","South Central and Great Plains States; Labor Unions, Associations, and Federations","Kim Black","","","",""
"REUGKP904630850","AFL-CIO - Communications Workers of America - Local 6132","3907 Medical Pky., Ste. 200","","","","","Austin, TX 78756-4015 USA","Austin","TX","78756-4015","United States","512","(512)467-6132","","(512)467-0966","","http://www.cwa6132.org","8631","Labor Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Communications","4; 15","South Central and Great Plains States; Labor Unions, Associations, and Federations","Jason Peavler","","","",""
"ULCXLX178226523","AFL-CIO United Transportation Union - Local Union 489","c/o Billy Ortagus, President","5407 Campwood St.","","","","San Antonio, TX 78233 USA","San Antonio","TX","78233","United States","337","(337)263-1115; (773)387-5475","","","","http://www.utulocal489.org","8631","Labor Organizations","5085","Industrial Supplies","","","","160","None Reported","None Reported","","None Reported","","","","None Reported","","","Industrial Workers","4; 15","South Central and Great Plains States; Labor Unions, Associations, and Federations","Billy Ortagus","","","",""
"YMIDDT810874905","Afro-American Historical and Genealogical Society - Willie Lee Gay - H-Town Chapter","c/o Melrita Taylor, Treasurer","314 Ishmeal St.","","","","Houston, TX 77091 USA","Houston","TX","77091","United States","","","","","htown@aahgs.org","http://htown.aahgs.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","African-American","4; 06","South Central and Great Plains States; Cultural Organizations","George A. Allen","","","",""
"UPRWRD065229375","AHS Bulldog Band Booster Club (AHSBBBC)","3434 Pheasant Creek Dr.","","","","","Sugar Land, TX 77498 USA","Sugar Land","TX","77498","United States","281","(281)634-2064","","","","http://www.sfaband.org/parents/booster-club","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Bands","4; 05","South Central and Great Plains States; Educational Organizations","Rory Schroedter","","","",""
"DSZVFT380923506","Aikido of Austin","5501 N Lamar Blvd., Ste. C111","","","","","Austin, TX 78751 USA","Austin","TX","78751","United States","512","(512)323-0123","","","","http://austinaikido.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Aikido","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Josef Birdsong","","","",""
"XRVXHZ876755754","Air and Waste Management Association - Gulf Coast Chapter","2429 Bissonnet St., Ste. 342","","","","","Houston, TX 77005-1451 USA","Houston","TX","77005-1451","United States","","","","","","http://www.awma-gcc.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Pollution Control","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","James Smith","","","",""
"TEVGWE088719863","Air and Waste Management Association - High Plains Chapter","PO Box 52103","","","","","Amarillo, TX 79159 USA","Amarillo","TX","79159","United States","","","","","","http://www.awma-highplains.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Pollution Control","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Jeff Merrell","","","",""
"MPMBXS765094019","Air Conditioning Contractors of America - Greater Houston (ACCA-GH)","9800 Centre Pky., Ste. 100","","","","","Houston, TX 77036 USA","Houston","TX","77036","United States","713","(713)781-4822","","(713)715-6231","","http://www.accagh.org","8611","Business Associations","","","","","","","None Reported","None Reported","","Yes","Newsletter","monthly","No","None Reported","","","Heating and Cooling","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Allyson Hoag","","","",""
"BBLQTM363524668","Air Conditioning Contractors of America - San Antonio Chapter","PO Box 160218","","","","","San Antonio, TX 78280 USA","San Antonio","TX","78280","United States","210","(210)901-4222","800-998-4822","","accasanantonio@gmail.com","http://www.accasa.org","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Heating and Cooling","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Dawn Thompson","","","",""
"JHNLDH189339984","Air Conditioning Contractors of America - South Plains","PO Box 64094","","","","","Lubbock, TX 79464-4094 USA","Lubbock","TX","79464-4094","United States","806","(806)741-7068","","(806)741-7068","southplainsacca@yahoo.com","http://www.accasa.org/acca-chapters.php","8611","Business Associations","3585","Refrigeration and Heating Equipment","1994","1","","32","None Reported","None Reported","","None Reported","","","","None Reported","","","Heating and Cooling","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Pam Chambless","","","",""
"QKODYF398450873","Air Force Association - Texas","PO Box 839950","","","","","San Antonio, TX 78283-3950 USA","San Antonio","TX","78283-3950","United States","830","(830)755-4420","","","","http://sites.google.com/site/texasairforceassociation","8641","Civic and Social Associations","9711","National Security","1962","1","","10000","None Reported","None Reported","","None Reported","","","","None Reported","","","Military","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Gary Copsey","","","",""
"XYNZFH311328176","Air Force Women Officers Associated (AFWOA)","PO Box 780155","","","","","San Antonio, TX 78278 USA","San Antonio","TX","78278","United States","","","","","afwoa@afwoa.org","http://www.afwoa.org","8699","Membership Organizations Nec","","","1975","","","1000","None Reported","None Reported","","None Reported","","","","None Reported","","","Air Force","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Patricia Murphy","","","",""
"DAMWFN458174914","Alamo Area Stroke Support Group","9119 Cinnamon Hill","","","","","San Antonio, TX 78240 USA","San Antonio","TX","78240","United States","210","(210)232-9084; (210)764-2238","","","","http://www.stroke.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Stroke","4; 08","South Central and Great Plains States; Health and Medical Organizations","Santiago A. Casanova","","","",""
"JMJNSF948108884","Alamo Chapter of the American Payroll Association","PO Box 160612","","","","","San Antonio, TX 78280-2812 USA","San Antonio","TX","78280-2812","United States","210","(210)304-8616","","(210)359-0138","info@apasanantonio.com","http://www.apasanantonio.com","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Employment","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Bonnie L. Downey","","","",""
"GDKRFI867273166","Alamo Exhibition Bird Club (AEBC)","PO Box 47910","","","","","San Antonio, TX 78265-7910 USA","San Antonio","TX","78265-7910","United States","","","","","","http://www.aebc.org","8699","Membership Organizations Nec","","","1971","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Bird","4; 13","South Central and Great Plains States; Hobby and Avocational Organizations","Donna Rich","","","",""
"VIUJVJ767167800","Alamo Fly Fishers (AFF)","PO Box 6224","","","","","San Antonio, TX 78209 USA","San Antonio","TX","78209","United States","","","","","","http://alamoflyfishers.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Fishing","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Walter Ross","","","",""
"ODHVVF346079028","Alamo Group of the Sierra Club","PO Box 6443","","","","","San Antonio, TX 78209 USA","San Antonio","TX","78209","United States","210","(210)674-9489; (210)829-5632","","","","http://texas.sierraclub.org/alamo","8699","Membership Organizations Nec","","","1892","","","750000","None Reported","None Reported","","None Reported","Magazine","bimonthly","Yes","None Reported","","","Community Action; Ecology","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Margaret Day, Co-Ch.","","","",""
"MUOOEQ782728820","Alamo Muzzle Loading Gun Club (AMLGC)","c/o John Burke, Sr., Treasurer","4306 Waterwood Pass Dr.","","","","Elmendorf, TX 78112 USA","Elmendorf","TX","78112","United States","","","","","","http://www.amlgc.org","8699","Membership Organizations Nec","","","1960","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Shooting","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Greg Delk","","","",""
"SGAKJH468360063","Alcoholics Anonymous - Central Service Office","401 E Front St., Ste. 145B","","","","","Tyler, TX 75702 USA","Tyler","TX","75702","United States","903","(903)597-1796","","(903)597-1797","east.tx.cso@gmail.com","http://www.tyler-aa.org","8399","Social Services Nec","","","1983","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Substance Abuse","4; 07","South Central and Great Plains States; Social Welfare Organizations","","","","",""
"TEUFUZ749891099","Alcoholics Anonymous World Services - Coastal Bend Intergroup Association","Office Pk. S, Ste. S-212","3833 S Staples","","","","Corpus Christi, TX 78411 USA","Corpus Christi","TX","78411","United States","361","(361)992-8911","866-672-7029","(361)852-1381","cbia@grandecom.net","http://www.cbiaa.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Substance Abuse","4; 07","South Central and Great Plains States; Social Welfare Organizations","Johnie S.","","","",""
"HWOUMY630340229","Alcoholics Anonymous World Services - Hill Country Intergroup","1825 Fortview Rd., No. 104","","","","","Austin, TX 78704 USA","Austin","TX","78704","United States","512","(512)448-9017","","","mailaustinaa@gmail.com","http://www.austinaa.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Substance Abuse","4; 07","South Central and Great Plains States; Social Welfare Organizations","","","","",""
"HWEUNA661422331","Alcoholics Anonymous World Services - Houston Intergroup Association","4140 Directors Row, Ste. D & E","","","","","Houston, TX 77092 USA","Houston","TX","77092","United States","713","(713)686-6300","","","intergroup@aahouston.org","http://www.aahouston.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Substance Abuse","4; 07","South Central and Great Plains States; Social Welfare Organizations","","","","",""
"YYIESD186685041","Alice Chamber of Commerce (ACC)","612 E Main St.","","","","","Alice, TX 78333 USA","Alice","TX","78333","United States","361","(361)664-3454","","(361)664-2291","","http://www.alicetxchamber.org","8611","Business Associations","","","","3","","710","None Reported","None Reported","","Yes","Newsletter","monthly","No","Yes","banquet","None Reported","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Juan A. Navejar, Jr.","","","",""
"DJLJLV024910702","Alief Noon Lions Club","PO Box 2486","","","","","Cypress, TX 77410 USA","Cypress","TX","77410","United States","","","","","alieflionsclub@hotmail.com","http://www.alieflionsclub.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Karen Newman","","","",""
"RQSQEJ506082885","Allegro Guitar Society of Dallas","c/o Christopher McGuire, Artistic Director","PO Box 821954","","","","Fort Worth, TX 76182-1954 USA","Fort Worth","TX","76182-1954","United States","817","(817)498-0363","","","","http://guitarsociety.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Music","4; 06","South Central and Great Plains States; Cultural Organizations","Christopher McGuire, Art Dir.","","","",""
"CARDDT625404214","Alliance for Women in Media - Dallas/Fort Worth Chapter (AWM-DFW)","c/o Lindsey Weiner","Team Detroit","1845 Woodall Rodgers Fwy., 11th Fl.","","","Dallas, TX 75201 USA","Dallas","TX","75201","United States","469","(469)879-5233","","","","http://allwomeninmedia-dfw.org","8641","Civic and Social Associations","","","","","","","None Reported","Yes","Scholarship","None Reported","","","","None Reported","","","Broadcasting","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","(469)879-5233","","","",""
"TFPJAV885132596","All Star Equestrian Foundation, Inc.","6601 FM 2738","","","","","Mansfield, TX 76063 USA","Mansfield","TX","76063","United States","817","(817)477-1437","","(817)473-9175","allstar892@juno.com","http://www.allstarfoundation.org","8699","Membership Organizations Nec","8322","Individual and Family Services","1999","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Disabled","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Ken Morgan","","","",""
"DZCSBS645017800","Alpha Gamma Rho, Beta Chi Chapter - Stephen F. Austin State University","1936 North St.","","","","","Nacogdoches, TX 75962 USA","Nacogdoches","TX","75962","United States","936","(936)468-6292","","(936)468-7278","","http://www.sfasu.edu/studentaffairs/942.asp","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Agriculture","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Dale Perritt","","","",""
"EQDSKS209634315","Alpha Iota Delta - Southern Methodist University","6425 Boaz Ln.","","","","","Dallas, TX 75275 USA","Dallas","TX","75275","United States","214","(214)768-3171","","(214)768-4099","","http://www.alphaiotadelta.com/?_m=page%26amp;p=Committees","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Business","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Marion Sobol","","","",""
"AEGKJO207388307","Alpha Kappa Psi - Kappa Tau Chapter, Lamar University","211 Red Bird Ln.","","","","","Beaumont, TX 77705-9801 USA","Beaumont","TX","77705-9801","United States","","","","","","http://www.akpsi.org/page.aspx?pid=727","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Business","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Precious Byrd-Harris","","","",""
"MPCGMU328026302","Alpha Kappa Psi - Theta Rho Chapter, University of Texas-Pan American","School of Business Administration","PO Box 43","","","","Edinburg, TX 78540-0043 USA","Edinburg","TX","78540-0043","United States","","","","","akpsi_theta_rho@hotmail.com","http://www.birdnest.org/akpsi/links_to_other_chapters.htm","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Business","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Yolanda Gutierrez","","","",""
"MTLUTC895140977","Alpha Lambda Delta - Lamar University","c/o Steven Zani","211 Redbird Ln.","","","","Beaumont, TX 77710-0023 USA","Beaumont","TX","77710-0023","United States","409","(409)880-7553","","","","http://www.nationalald.org/index.cfm/officers/chapter-finder1","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Dr. Steve Zani","","","",""
"GQSXSD737142827","Alpha Lambda Delta - Sam Houston State University","1802 Ave.","","","","","Huntsville, TX 77341 USA","Huntsville","TX","77341","United States","936","(936)294-1111","","(936)294-3093","","http://www.shsu.edu/dept/dean-of-students/organizations/alpha-lambda-delta.html","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Chelsea Smith","","","",""
"BQNVVV636733536","Alpha Lambda Delta - Schreiner University","2100 Memorial Blvd.","","","","","Kerrville, TX 78028-5697 USA","Kerrville","TX","78028-5697","United States","830","(830)792-7453","","","","http://www.nationalald.org/index.cfm/about/chapter-finder","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Gary Biel","","","",""
"NBEDMO920748476","Alpha Lambda Delta - Southern Methodist University","PO Box 750355","","","","","Dallas, TX 75275 USA","Dallas","TX","75275","United States","214","(214)768-4560","","","","http://people.smu.edu/ald","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Kayla Klingseisen","","","",""
"YNVJXZ264736849","Alpha Lambda Delta - Texas Lutheran University","1000 W Court St.","","","","","Seguin, TX 78155 USA","Seguin","TX","78155","United States","830","(830)372-6026","","","","http://www.nationalald.org/index.cfm/about/chapter-finder","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Eliza Thomason","","","",""
"EOQDXC027808973","Alpha Lambda Delta - Texas State University","407 Lampasas Bldg.","601 University Dr.","","","","San Marcos, TX 78666 USA","San Marcos","TX","78666","United States","512","(512)245-2266","","","","http://www.nationalald.org/index.cfm/about/chapter-finder","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Diann McCabe","","","",""
"APQCBV749763643","Alpha Lambda Delta - Trinity University","715 Stadium Dr.","","","","","San Antonio, TX 78212-7200 USA","San Antonio","TX","78212-7200","United States","210","(210)999-8344","","","","http://www.nationalald.org/index.cfm/about/chapter-finder","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Katie Whittaker","","","",""
"EGZOSO649754376","Alpha Lambda Delta - University of Texas","c/o Keisha Ware, Advisor","701 S Nedderman Dr.","","","","Arlington, TX 76019-9800 USA","Arlington","TX","76019-9800","United States","817","(817)272-3771","","","","http://nationalald.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Keisha Ware","","","",""
"DMAIVL994308213","Alpha Lambda Delta - University of Texas","c/o Laura Yeckley, Advisor","University Honors Ctr.","PO Box 7336","","","Austin, TX 78713 USA","Austin","TX","78713","United States","512","(512)471-2413","","","utaldpes@gmail.com","http://www.utexas.edu/ugs/uhc/societies/ald_pes","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Laura Yeckley","","","",""
"ACELHT847734088","Alpha Lambda Delta - University of Texas","c/o Charlin Jones, Advisor","1 UTSA Cir.","UC III 1.228","","","San Antonio, TX 78249 USA","San Antonio","TX","78249","United States","210","(210)458-6736; (210)458-7273","","","","http://aldutsa.webs.com","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Honor Societies","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Charlin Jones","","","",""
"ABUAUV529301534","Alpha Phi Sigma, Alpha Kappa Omega Chapter - Texas A&M University-Commerce","PO Box 3011","","","","","Commerce, TX 75429 USA","Commerce","TX","75429","United States","903","(903)886-5014","","","","http://www.alphaphisigma.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Criminal Justice","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Melinda Schlager","","","",""
"XJQVOX817993736","Alpha Phi Sigma, Alpha Phi Chapter - University of Houston-Downtown","C330J Commerce Bldg.","1 Main St.","","","","Houston, TX 77002 USA","Houston","TX","77002","United States","713","(713)226-5586","","(713)221-2726","","http://www.alphaphisigma.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Criminal Justice","4; 17","South Central and Great Plains States; Greek and Non-Greek Letter Societies, Associations, and Federations","Michael Cavanaugh, PhD","","","",""
"ZSOJXM726417746","Alpine Chamber of Commerce (ACC)","106 N 3rd St.","","","","","Alpine, TX 79830 USA","Alpine","TX","79830","United States","432","(432)837-2326","800-561-3712","","info@alpinetexas.com","http://www.alpinetexas.com","8611","Business Associations","","","1907","2","","250","None Reported","None Reported","","Yes","Journal","periodic","No","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Dave Dumas","","","",""
"MTWFOH045554106","Altrusa International of Greenville","PO Box 115","","","","","Greenville, TX 75402 USA","Greenville","TX","75402","United States","","","","","altrusagreenville@gmail.com","http://greenville.altrusa.org/Who-We-Are/Welcome-Message.aspx","8641","Civic and Social Associations","","","1953","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Mary Standfield","","","",""
"YUNCMJ147586585","Altrusa of the Brazos","PO Box 8933","","","","","Waco, TX 76714 USA","Waco","TX","76714","United States","","","","","","http://altrusadistrictnine.org/waco","8641","Civic and Social Associations","","","1981","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Marci Barletta","","","",""
"IZAQOP591858194","Alzafar Shriners","901 N Loop 1604 W","","","","","San Antonio, TX 78232-1040 USA","San Antonio","TX","78232-1040","United States","210","(210)496-1625","","(210)496-1815","","http://www.alzafar.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Child Health","4; 10","South Central and Great Plains States; Fraternal, Nationality, and Ethnic Organizations","Stuart Simms","","","",""
"RAYDIX934814528","Alzheimer's Association - Amarillo Office","5410 S Bell St., Ste. 411","","","","","Amarillo, TX 79109 USA","Amarillo","TX","79109","United States","","","800-272-3900","(806)372-8693","","http://www.alz.org/westtexas/in_my_community_contact.asp","8699","Membership Organizations Nec","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4; 08","South Central and Great Plains States; Health and Medical Organizations","Debbie Erdwurm","","","",""
"QXKVNW814588396","Alzheimer's Association - Arlington","401 W Sanford St., Ste. 200","","","","","Arlington, TX 76011 USA","Arlington","TX","76011","United States","817","(817)336-4949","","","judy.budlong@alz.org","http://www.alz.org/northcentraltexas","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4; 08","South Central and Great Plains States; Health and Medical Organizations","Judy Budlong","","","",""
"ZXMKSL502930157","Alzheimer's Association - Galveston Regional Office","Rebecca Sealy Bldg., Rm. 6.108","","","","","Galveston, TX 77555-0460 USA","Galveston","TX","77555-0460","United States","","","800-272-3900","","","http://www.alz.org/texas","","","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4","South Central and Great Plains States","","","","",""
